trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.5, 'e': 0.3155500000000001}",30,18,17.770723366554208,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.30725000000000013}",25,0,0.2039892227051423,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.2989000000000001}",20,9,17.641608875339962,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.2905000000000001}",20,0,-26.18657664181536,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.2820500000000001}",20,12,8.055680227668939,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.27355000000000007}",25,13,20.024620792560317,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.26500000000000007}",30,0,11.582558342984585,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.2564000000000001}",20,0,1.4035027563310032,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.24775000000000008}",35,19,25.472566147830257,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.23905000000000007}",20,0,-24.37599786902385,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.23030000000000006}",20,7,1.422647596869419,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.22150000000000006}",20,0,18.152015347607744,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.21265000000000006}",25,10,34.083673407923285,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.20375000000000007}",25,20,9.727452637796102,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.19480000000000008}",20,8,4.257495410756295,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.18580000000000008}",20,8,24.471910289463743,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.17675000000000007}",35,16,24.806812770389058,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16765000000000008}",20,13,13.204337425162798,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.15850000000000009}",20,6,8.621417953033987,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.1493000000000001}",25,17,8.968073725390386,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1400500000000001}",25,12,19.76309609674668,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.1307500000000001}",20,0,-24.788020268845045,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
184,False,"{'a': 0.5, 'e': 0.12140000000000009}",35,20,6.724756723270863,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
